%depth	d13C	d18O
18.57	0.66	4.05
18.6	0.66	3.99
18.63	0.55	4.08
18.66	0.68	3.92
18.69	0.69	3.93
18.72	0.53	3.63
18.75	0.7	3.89
18.78	0.96	3.93
18.81	0.68	3.87
18.93	0.71	3.73
19	0.41	3.89
19.03	0.72	3.94
19.06	0.52	4.02
19.09	0.69	4.08
19.12	0.26	3.91
19.15	0.73	4.19
19.18	0.72	4.26
19.21	0.83	4.17
19.36	0.8	3.88
20.03	0.65	4.08
20.06	0.73	4.09
20.23	0.82	4.26
20.26	0.97	4.28
20.29	0.73	4.32
20.32	0.88	4.18
20.35	0.74	4.23
20.43	0.95	4.19
20.53	0.76	4.11
20.56	0.61	4.04
20.62	0.77	3.97
20.65	0.7	3.92
20.71	0.69	3.8
20.74	0.77	3.67
20.86	0.83	3.47
20.98	0.79	3.51
21.22	0.83	3.53
21.43	0.8	3.35
21.46	0.87	3.38
21.52	0.29	3.2
21.61	0.83	3.28
21.64	0.89	3.18
21.73	0.72	3.38
22.12	0.73	2.95
22.15	0.6	2.92
22.21	0.77	3.05
22.27	0.9	3.02
22.33	0.9	3.03
22.36	0.93	3.25
22.42	1.06	3.27
22.48	0.99	3.29
22.51	0.72	3.25
22.57	0.84	3.31
22.66	1	3.27
22.72	1.14	3.41
22.75	1.07	3.3
22.78	0.72	3.11
22.84	0.84	3.32
22.9	0.86	3.27
22.96	0.91	3.3
23.01	0.97	3.16
23.1	0.84	3.14
23.47	1.04	3.16
23.74	0.82	2.95
23.98	0.91	3
24.12	0.72	3.02
24.24	0.52	2.98
24.33	0.58	3.06
24.39	0.6	2.91
24.46	0.07	3.2
24.49	0.41	3.04
24.52	0.14	3.32
24.55	0.08	3.65
24.58	0.3	3.92
24.64	0.81	4.21
24.67	0.86	4.29
24.7	0.9	4.15
24.73	0.69	4.17
25.06	0.63	3.82
25.09	0.74	3.83
25.33	0.57	3.55
25.36	0.69	3.97
25.39	0.66	3.89
25.42	0.68	4.1
25.45	0.79	4
25.48	0.83	3.96
25.54	0.67	3.95
25.57	0.78	3.89
25.63	0.65	3.93
25.69	0.67	3.84
25.82	1.02	3.65
25.85	0.94	3.64
25.92	0.34	3.11
26.02	1.06	3.3
26.05	0.98	3.4
26.12	0.82	3.19
